id,name,category_name,price,quantity_sold
278235912,Sách ngoại văn: A2 KEY For Schools - Trainer 2 Without Answers,Sách nước ngoài,296600,1
278058339,Sách ngoại văn: Kid's Box New Generation - Activity Book With Digital Pack 4,Sách nước ngoài,351000,6
276809716,Sách ngoại văn: Cam Primary Science 3 - Learner's With Digital Access (1 Year) (2nd Edition),Sách nước ngoài,550100,3
276429480,Everyboy Up 2 - Student Book With Online Practice (3rd Edition),Sách nước ngoài,336900,2
275699607,The History of Colour,Sách nước ngoài,759000,1
274674444,Uma Musume Cinderella Gray 4 (Japanese Edition),Sách nước ngoài,250800,1
274354255,Sách Healthy Me: Mental Well-Being And Mindfulness,Sách nước ngoài,140000,9
274040568,Sách - The Way To Be Humble,Sách nước ngoài,70000,1
270052884,American Family And Friends Level 3: Workbook With Online Practice - 2nd Edition,Sách nước ngoài,232200,18
252578274,Play Smart Early Learning 2+,Sách nước ngoài,168000,3
192951426,Look And See 3: Activity Book,Sách nước ngoài,226800,5
192951368,New Close-up B1 With Online Practice And Student's EBook,Sách nước ngoài,421200,13
191004731,Fantastic Mr Fox,Sách nước ngoài,229000,3
168666483,My Phonics 3 Pupil's Book (Int) With Crossplatform Application,Sách nước ngoài,151000,8
106363107,Hooray Let's Play A2 Student's Book and Activities & Projects,Sách nước ngoài,103000,11
279270236,Sách ngoại văn: English File - Fifth Edition - Elementary - Student Book With Digital Pack,Sách nước ngoài,621500,1
279106446,Sách - Percy Jackson And The Olympians The Battle Of The Labyrinth by Rick Riordan,Sách nước ngoài,300000,2
279046456,Sách ngoại văn: イラストレーションファイル2025 下巻 - Illustration File 2025 Gekan,Sách nước ngoài,840400,1
279042651,Sách ngoại văn: Illustrator Expo,Sách nước ngoài,975400,1
278906584,Sách ngoại văn: Clear Thinking,Sách nước ngoài,330200,2
278160422,"Sách - The Twits by Roald Dahl, Quentin Blake (Illustrator) - Sách thiếu nhi tiếng Anh nhập khẩu UK",Sách nước ngoài,250000,1
277770904,Sách - The Marshmallow Test: Understanding Self-control and How To Master It by Walter Mischel - Psychology /Nonfiction /Self Help,Sách nước ngoài,350000,1
277603511,"Sách - 50 Maths Ideas You Really Need to Know (50 Ideas You Really Need to Know series) by Tony Crilly - Sách tiếng anh, bìa cứng",Sách nước ngoài,350000,3
277378373,PYGMALION,Sách nước ngoài,91080,2
276684919,Give Me Five! Level 1 Student's Book With Pupils Book And Navio App,Sách nước ngoài,397400,3
275088316,Harry Potter and the Order of the Phoenix,Sách nước ngoài,321080,3
273308062,Minecraft: The Island: An Official Minecraft Novel,Sách nước ngoài,229000,6
273028112,Diary of a Wimpy Kid #18: No Brainer,Sách nước ngoài,349000,1
272896620,Tiếng Anh 3 i-Learn Smart Start Student's Cards (new),Sách nước ngoài,119000,42
271301307,Dog Man #6: Brawl Of The Wild,Sách nước ngoài,289000,5
249876440,Boundaries,Sách nước ngoài,349000,2
213788704,Making Friends #3: Third Time's A Charm: A Graphic Novel,Sách nước ngoài,269800,4
171592676,American English File 3rd Edition: Level 5: Workbook,Sách nước ngoài,168400,4
106225746,i-Learn Smart Science 4 Student Book,Sách nước ngoài,134000,8
101870942,Only A Breath Apart,Sách nước ngoài,198500,1
101745034,Vibrant Vietnam,Sách nước ngoài,495000,14
339739,Truyện thiếu nhi tiếng Anh - Diary Of A Wimpy Kid 04 : Dog Days (Paperback),Sách nước ngoài,199000,2
279375443,Sách - Overcoming Worry and Generalised Anxiety Disorder | Self Help / Psychology / Tâm lý học,Sách nước ngoài,350000,1
279103957,Sách - Botchan by Natsume Soseki - Penguin Japanese Classics,Sách nước ngoài,350000,1
279042371,Sách ngoại văn: 悪役のエンディングは死のみ 6 Akuyaku No Ending Wa Shi Nomi 6,Sách nước ngoài,362000,1
279039021,Sách ngoại văn: The Monstrous Adventures Of Mummy Man And Waffles,Sách nước ngoài,344000,1
279033936,Sách ngoại văn: Hildafolk Comics 2 - Hilda And The Midnight Giant,Sách nước ngoài,264100,2
278852383,Sách - Dtpbooks - Smooth Skills Listening & Speaking A2+,Sách nước ngoài,149000,1
278818801,Sách - Tao Te Ching by Lao Tzu - English Book/ Sách Tiếng Anh - Đạo Đức Kinh - Classics - Philosophy,Sách nước ngoài,220000,2
278812538,Sách - An Anthropologist on Mars by Oliver Sacks - Nonfiction/Science book in English - Ngoại Văn,Sách nước ngoài,320000,1
278749908,Sách - Pebble In The Sky by Isaac Asimov/ Tiểu thuyết tiếng Anh/ Fiction/ English,Sách nước ngoài,280000,1
278058377,Sách ngoại văn: Kid's Box New Generation - Pupil's Book With Ebook 4,Sách nước ngoài,400600,8
277588099,"Sách - Night by Elie Wiesel - Sách tiếng anh, Bìa mềm",Sách nước ngoài,280000,1
277500164,THE ADVENTURES OF TOM SAWYER,Sách nước ngoài,99000,3
277180497,Sách ngoại văn: Percy Jackson And The Olympians - The Chalice Of The Gods,Sách nước ngoài,336500,6
