id,name,category_name,current_discount,current_probability,optimal_discount,optimal_probability,improvement,recommend_change
278963850,Kính Vạn Hoa Bộ Kỉ Niệm 30 Năm - Tặng Kèm 01 Sổ Tay Kính Vạn Hoa,Sách tiếng Việt,28,0.2852231211566709,20,0.4473595038017651,0.16213638264509417,True
278901566,Sách Đời Gió Bụi,Sách tiếng Việt,25,0.40131073215115526,45,0.5707933312276179,0.16948259907646263,True
278892527,Sách Tokyo Aliens - [Chọn Tập Lẻ,Sách tiếng Việt,5,0.01736535791915539,45,0.2307642499829032,0.21339889206374782,True
278856940,Agatha Christie. Bí Mật Dinh Thự Chimneys,Sách tiếng Việt,21,0.4004759962551059,21,0.4004759962551059,0.0,False
278800709,Điểm Kỳ Dị Đã Cận Kề - Khi Con Người Hợp Nhất Với AI,Sách tiếng Việt,32,0.07060123070906048,45,0.2295494993568523,0.15894826864779182,True
278500643,Sách Động Từ Bất Quy Tắc & Ngữ Pháp Tiếng Anh Căn Bản,Sách tiếng Việt,23,0.24664718521461623,45,0.40534387340028066,0.15869668818566443,True
278492587,Sách Kính Vạn Hoa - Bộ 18 Tập [ Phiên Bản Mới,Sách tiếng Việt,28,0.21519959068356492,15,0.37564014504990917,0.16044055436634425,True
278489414,Sách Tư Duy Hệ Thống,Sách tiếng Việt,33,0.31409118458651153,20,0.40091220543995476,0.08682102085344323,True
278275295,Sách Chiến Binh Cầu Vồng (Tái Bản),Sách tiếng Việt,23,0.118343757470131,45,0.31484062834659576,0.19649687087646478,True
277827033,Sách Lần Đầu Làm Mẹ - Tổng Hợp Những Kiến Thức Mới Nhất Về Mang Thai Và Sinh Nở,Sách tiếng Việt,32,0.3941596048841071,45,0.5898616794583099,0.1957020745742028,True
277384364,Hồ Sơ Mật The Top Secret Season 0,Sách tiếng Việt,9,0.041803749438880614,45,0.4243300531803317,0.3825263037414511,True
276933759,Combo Giáo Trình Chuẩn HSK 5 Tập 1 - Sách Bài Học và Bài tập (Bộ 2 cuốn),Sách tiếng Việt,17,0.2906653598430834,0,0.48094755786336485,0.19028219802028146,True
276305454,Sách Trường Tương Tư,Sách tiếng Việt,37,0.2658278343438896,20,0.43255160398320336,0.16672376963931373,True
275212810,Sách MBA CƠ BẢN - Khóa Học Quản Trị Kinh Doanh Cấp Tốc Cho Người Bận Rộn - Tom Gorman (bìa mềm),Sách tiếng Việt,40,0.24502105295863202,20,0.43478039581137096,0.18975934285273893,True
275034810,Sách Thánh Kinh Marketing,Sách tiếng Việt,30,0.2734326976129357,20,0.3937352001948556,0.12030250258191988,True
273200683,Series các tập Chu Du Ẩm Thực Tại Dị Giới Với Kĩ Năng Không Tưởng,Sách tiếng Việt,10,0.0386597022574888,45,0.38461213549365636,0.34595243323616753,True
