id,name,feature_name,feature_name_original,shap_value,feature_value,shap_value_percent
383387,Thần Đồng Đất Việt 24 - Bài Toán Lộ Phí,Giá bán,price,0.2568777108216178,9900,47.12583245592864
383387,Thần Đồng Đất Việt 24 - Bài Toán Lộ Phí,Điểm đánh giá,rating_average,0.11523381089646285,5.0,21.140367718925745
383387,Thần Đồng Đất Việt 24 - Bài Toán Lộ Phí,Có đánh giá,has_rating,0.07621935300783154,1,13.982919920368854
383387,Thần Đồng Đất Việt 24 - Bài Toán Lộ Phí,Thể loại: Sách tiếng Việt,cat_Sách tiếng Việt,0.051203939895592535,False,9.393684975177935
383387,Thần Đồng Đất Việt 24 - Bài Toán Lộ Phí,Thể loại: Sách nước ngoài,cat_Sách nước ngoài,-0.01744186637238037,False,3.199820139141165
383387,Thần Đồng Đất Việt 24 - Bài Toán Lộ Phí,"Thể loại: Truyện tranh, Manga","cat_Truyện tranh, Manga",0.01647359329642611,True,3.02218435048882
383387,Thần Đồng Đất Việt 24 - Bài Toán Lộ Phí,Thể loại: Sách giáo khoa,cat_Sách giáo khoa,-0.008543894843941247,False,1.5674312716693801
383387,Thần Đồng Đất Việt 24 - Bài Toán Lộ Phí,Mức giảm giá,discount_rate,-0.0030947925553813115,1,0.5677591682994756
383389,Thần Đồng Đất Việt 26 - Bột Nếp Vạch Tội,Giá bán,price,0.22320001583015733,9900,34.48435137504128
383389,Thần Đồng Đất Việt 26 - Bột Nếp Vạch Tội,Điểm đánh giá,rating_average,0.21332892697705289,4.7,32.959270405854745
383389,Thần Đồng Đất Việt 26 - Bột Nếp Vạch Tội,Có đánh giá,has_rating,0.08257227969198043,1,12.757398318928386
383389,Thần Đồng Đất Việt 26 - Bột Nếp Vạch Tội,Thể loại: Sách tiếng Việt,cat_Sách tiếng Việt,0.06383823837197054,False,9.862993221549914
383389,Thần Đồng Đất Việt 26 - Bột Nếp Vạch Tội,Thể loại: Sách nước ngoài,cat_Sách nước ngoài,-0.02566180783696028,False,3.9647434390950447
383389,Thần Đồng Đất Việt 26 - Bột Nếp Vạch Tội,"Thể loại: Truyện tranh, Manga","cat_Truyện tranh, Manga",0.020905136568649698,True,3.229838816521883
383389,Thần Đồng Đất Việt 26 - Bột Nếp Vạch Tội,Mức giảm giá,discount_rate,-0.009150242381385523,1,1.4137103542438867
383389,Thần Đồng Đất Việt 26 - Bột Nếp Vạch Tội,Thể loại: Sách giáo khoa,cat_Sách giáo khoa,-0.008593501845025405,False,1.3276940687648549
383391,Thần Đồng Đất Việt 28 - Bí Mật Bong Bóng,Điểm đánh giá,rating_average,0.2169296631607427,4.8,32.30814975206074
383391,Thần Đồng Đất Việt 28 - Bí Mật Bong Bóng,Giá bán,price,0.21328283687526473,10000,31.765014212023193
383391,Thần Đồng Đất Việt 28 - Bí Mật Bong Bóng,Có đánh giá,has_rating,0.07806648216553974,1,11.626734489288928
383391,Thần Đồng Đất Việt 28 - Bí Mật Bong Bóng,Thể loại: Sách tiếng Việt,cat_Sách tiếng Việt,0.061011973497965964,False,9.08674243863283
383391,Thần Đồng Đất Việt 28 - Bí Mật Bong Bóng,Mức giảm giá,discount_rate,-0.06023001396726345,0,8.970282267857256
